Date,Open,High,Low,Close,Adj Close,Volume
2021-04-12,263.970001,265.790009,263.500000,265.500000,264.113556,455820
2021-04-13,265.929993,267.859985,264.040009,264.660004,263.277954,484912
2021-04-14,266.630005,268.170013,264.320007,267.799988,266.401550,569638
2021-04-15,266.570007,268.559998,263.260010,268.290009,266.889008,553803
2021-04-16,268.750000,269.329987,267.109985,269.070007,267.664948,1130986
2021-04-19,269.769989,270.299988,267.010010,268.299988,266.898926,380793
2021-04-20,267.000000,267.510010,263.950012,263.950012,262.571686,580781
2021-04-21,263.339996,268.149994,262.899994,267.950012,266.550781,776636
2021-04-22,268.019989,272.829987,267.109985,272.799988,271.375427,725703
2021-04-23,273.670013,275.989990,270.355011,273.339996,271.912628,491417
2021-04-26,275.000000,275.000000,271.029999,271.750000,270.330933,464710
2021-04-27,271.799988,271.799988,267.649994,268.369995,266.968567,684207
2021-04-28,266.489990,272.369995,265.309998,271.010010,269.594818,785715
2021-04-29,271.329987,274.750000,269.559998,273.489990,272.061829,617740
2021-04-30,272.140015,272.209991,269.500000,271.160004,269.744019,633579
2021-05-03,272.500000,274.140015,270.250000,270.950012,269.535126,542547
2021-05-04,270.000000,271.899994,269.079987,271.209991,269.793732,445798
2021-05-05,275.200012,279.209991,274.000000,277.660004,276.210083,896881
2021-05-06,280.000000,280.000000,274.359985,276.890015,275.444092,647272
2021-05-07,274.549988,276.890015,273.010010,274.510010,273.076538,483413
2021-05-10,273.500000,275.359985,272.350006,275.359985,273.922058,482931
2021-05-11,273.010010,275.179993,271.769989,274.339996,272.907410,500169
2021-05-12,275.899994,276.600006,272.820007,274.250000,272.817871,476414
2021-05-13,277.029999,278.940002,275.500000,277.510010,276.060852,570321
2021-05-14,275.320007,278.980011,273.670013,277.679993,276.229950,478206
2021-05-17,280.000000,280.000000,276.019989,276.570007,275.125763,395838
2021-05-18,279.000000,279.000000,275.649994,277.209991,275.762421,436111
2021-05-19,274.350006,277.250000,271.769989,274.450012,273.016846,675333
2021-05-20,274.899994,279.459991,274.730011,278.160004,276.707458,711831
2021-05-21,280.279999,284.790009,279.000000,284.299988,282.815369,1571606
2021-05-24,284.149994,290.480011,283.649994,289.269989,287.759430,664155
2021-05-25,292.720001,292.730011,290.299988,291.959991,290.435394,625430
2021-05-26,291.609985,291.730011,288.829987,288.859985,287.351563,470288
2021-05-27,286.250000,290.000000,285.799988,288.609985,287.102875,1012294
2021-05-28,291.279999,291.720001,287.320007,289.119995,287.610229,584312
2021-05-31,289.149994,292.869995,289.119995,290.209991,288.694519,621725
2021-06-01,289.679993,289.679993,286.429993,287.989990,286.486115,328949
2021-06-02,288.399994,289.200012,285.309998,286.959991,285.461487,461754
2021-06-03,288.709991,290.350006,286.279999,287.010010,285.511261,479069
2021-06-04,288.799988,292.399994,288.049988,291.369995,289.848480,609020
2021-06-07,292.500000,293.440002,291.135010,292.570007,291.042206,318732
2021-06-08,294.899994,295.989990,293.089996,295.190002,293.648529,882658
2021-06-09,296.880005,297.970001,293.130005,294.109985,292.574158,452584
2021-06-10,296.619995,298.970001,295.209991,295.209991,293.668427,521107
2021-06-11,296.510010,297.730011,294.149994,296.640015,295.090973,403912
2021-06-15,299.100006,304.200012,298.000000,301.720001,300.144440,674189
2021-06-16,303.869995,304.799988,301.609985,302.899994,301.318268,696901
2021-06-17,301.230011,302.799988,298.049988,302.220001,300.641815,959068
2021-06-18,304.100006,307.570007,304.000000,305.519989,303.924561,2097017
2021-06-21,304.929993,307.489990,303.070007,305.000000,303.407288,497281
2021-06-22,305.309998,305.399994,297.000000,300.519989,298.950684,830706
2021-06-23,299.989990,300.269989,292.820007,294.250000,292.713440,918576
2021-06-24,290.109985,292.000000,285.980011,286.609985,285.113312,941798
2021-06-25,286.320007,286.320007,282.209991,285.130005,283.641052,917473
2021-06-28,285.299988,289.980011,285.000000,288.420013,286.913910,468241
2021-06-29,290.660004,291.619995,287.040009,289.869995,288.356293,535381
2021-06-30,291.609985,291.619995,285.190002,285.190002,283.700745,983741
2021-07-01,284.779999,287.820007,283.399994,283.500000,282.019562,688366
2021-07-02,284.000000,286.200012,283.010010,284.190002,282.705963,461566
2021-07-05,285.000000,285.000000,281.350006,282.000000,280.527405,400899
2021-07-06,281.640015,282.489990,277.140015,277.239990,275.792267,508996
2021-07-07,280.880005,283.500000,280.000000,281.160004,279.691803,647149
2021-07-08,280.010010,281.440002,278.100006,279.140015,277.682343,645721
2021-07-09,279.000000,279.750000,273.010010,275.470001,274.031494,858187
2021-07-12,278.000000,279.500000,276.700012,279.059998,277.602753,529852
2021-07-13,280.070007,280.959991,277.510010,279.519989,278.060333,756123
2021-07-14,279.000000,281.350006,278.720001,279.820007,278.358795,682754
2021-07-15,277.459991,278.570007,274.519989,275.149994,273.713165,774355
2021-07-16,276.850006,278.000000,275.220001,277.720001,276.269745,1186043
2021-07-19,278.519989,284.880005,278.000000,282.739990,281.263519,656467
2021-07-20,282.690002,287.000000,281.700012,286.480011,284.984009,648423
2021-07-21,291.529999,291.529999,289.279999,290.130005,288.614960,681930
2021-07-22,291.480011,291.890015,288.179993,289.239990,287.729584,461915
2021-07-23,288.880005,294.299988,288.665009,293.480011,291.947479,522811
2021-07-26,295.000000,295.769989,291.559998,292.709991,291.181458,461482
2021-07-27,292.500000,292.989990,288.869995,292.100006,290.574677,458649
2021-07-28,292.170013,294.950012,288.059998,289.529999,288.018097,575848
2021-07-29,292.799988,292.880005,289.829987,291.019989,289.500305,415488
2021-07-30,291.079987,291.410004,286.799988,288.910004,287.401337,472528
2021-08-02,291.880005,294.890015,288.910004,294.350006,292.812927,504326
2021-08-03,292.380005,295.000000,292.380005,294.309998,292.773132,412955
2021-08-04,295.000000,295.100006,290.299988,292.279999,290.753723,611270
2021-08-05,292.000000,294.619995,291.160004,293.790009,292.255859,457958
2021-08-06,295.000000,297.929993,294.359985,297.929993,296.374207,562620
2021-08-09,298.000000,299.364990,295.700012,296.869995,295.319763,352395
