Date, Open, High, Low, Close
03/29/21, 6837.8, 6860.6, 6794.1, 6799.5
03/26/21, 6792.5, 6835.0, 6792.5, 6824.2
03/25/21, 6772.8, 6806.0, 6769.9, 6790.6
03/24/21, 6741.8, 6799.1, 6735.6, 6778.8
03/23/21, 6757.8, 6786.2, 6741.3, 6745.4
03/22/21, 6708.0, 6763.4, 6688.2, 6752.5
03/19/21, 6731.8, 6740.9, 6673.7, 6708.2
03/18/21, 6793.2, 6806.2, 6744.5, 6745.9
03/17/21, 6818.7, 6819.4, 6761.4, 6795.2
03/16/21, 6768.5, 6858.9, 6767.8, 6827.1
03/15/21, 6765.3, 6793.5, 6727.5, 6773.0
03/12/21, 6736.9, 6783.0, 6736.6, 6766.8
03/11/21, 6711.6, 6756.7, 6648.6, 6713.9
03/10/21, 6776.1, 6806.5, 6714.1, 6714.1
03/09/21, 6741.7, 6810.0, 6741.7, 6771.2
03/08/21, 6741.8, 6835.6, 6739.6, 6739.6
03/05/21, 6752.4, 6752.4, 6660.5, 6710.8
03/04/21, 6809.0, 6809.4, 6709.0, 6760.7
03/03/21, 6778.5, 6818.8, 6774.4, 6818.0
03/02/21, 6813.5, 6860.7, 6762.3, 6762.3
03/01/21, 6676.9, 6790.1, 6672.2, 6789.6
02/26/21, 6792.6, 6793.9, 6658.9, 6673.3
02/25/21, 6793.1, 6857.3, 6792.1, 6834.0
02/24/21, 6824.3, 6824.3, 6762.6, 6777.8
02/23/21, 6776.3, 6839.2, 6765.3, 6839.2
02/22/21, 6808.3, 6824.8, 6774.3, 6780.9
02/19/21, 6886.7, 6886.7, 6769.9, 6793.8
02/18/21, 6892.2, 6915.8, 6875.3, 6885.9
02/17/21, 6938.0, 6938.0, 6863.0, 6885.2
02/16/21, 6885.8, 6917.3, 6879.4, 6917.3
02/15/21, 6824.0, 6883.1, 6824.0, 6868.9
02/12/21, 6842.8, 6852.8, 6802.4, 6806.7
02/11/21, 6857.1, 6875.8, 6837.5, 6850.1
02/10/21, 6830.1, 6869.2, 6827.9, 6856.9
02/09/21, 6886.3, 6899.7, 6821.2, 6821.2
02/08/21, 6847.8, 6901.0, 6847.8, 6880.7
02/05/21, 6779.5, 6846.7, 6779.5, 6840.5
02/04/21, 6824.1, 6828.7, 6757.2, 6765.5
02/03/21, 6766.6, 6852.9, 6766.6, 6824.6
02/02/21, 6681.0, 6774.7, 6680.5, 6762.6
02/01/21, 6599.1, 6675.1, 6517.2, 6663.0
01/29/21, 6669.2, 6730.2, 6585.3, 6607.4
01/28/21, 6767.5, 6767.9, 6597.6, 6649.7
01/27/21, 6817.5, 6821.4, 6764.3, 6780.6
01/25/21, 6806.7, 6832.6, 6806.7, 6824.7
01/22/21, 6822.6, 6823.9, 6794.1, 6800.4
01/21/21, 6786.5, 6829.3, 6786.5, 6823.7
01/20/21, 6751.7, 6788.1, 6750.6, 6770.4
01/19/21, 6670.5, 6748.9, 6670.5, 6742.6
01/18/21, 6700.9, 6702.4, 6651.6, 6663.0
01/15/21, 6730.8, 6752.4, 6715.4, 6715.4
01/14/21, 6688.3, 6724.8, 6669.3, 6715.3
01/13/21, 6684.0, 6691.6, 6657.1, 6686.6
01/12/21, 6697.7, 6733.5, 6679.1, 6679.1
01/11/21, 6760.8, 6761.0, 6689.4, 6697.2
01/08/21, 6721.0, 6757.9, 6713.8, 6757.9
01/07/21, 6638.2, 6733.4, 6637.6, 6712.0
01/06/21, 6685.7, 6685.7, 6588.9, 6607.1
01/05/21, 6684.5, 6684.5, 6635.1, 6681.9
01/04/21, 6593.3, 6684.2, 6592.2, 6684.2
12/31/20, 6679.8, 6680.9, 6587.1, 6587.1
12/30/20, 6697.1, 6697.7, 6630.5, 6682.4
12/29/20, 6675.6, 6725.1, 6675.6, 6700.3
12/24/20, 6657.9, 6704.9, 6657.9, 6664.8
12/23/20, 6609.3, 6661.2, 6609.3, 6643.1
12/22/20, 6663.9, 6664.6, 6585.0, 6599.6
12/21/20, 6677.2, 6678.5, 6635.8, 6669.9
12/18/20, 6757.0, 6765.7, 6675.5, 6675.5
12/17/20, 6688.0, 6756.7, 6687.6, 6756.7
12/16/20, 6653.3, 6719.6, 6650.0, 6679.2
12/15/20, 6654.2, 6654.5, 6625.7, 6631.3
12/14/20, 6645.7, 6693.7, 6645.7, 6660.2
12/11/20, 6688.2, 6688.2, 6632.3, 6642.6
12/10/20, 6723.7, 6724.6, 6678.3, 6683.1
12/09/20, 6697.1, 6745.3, 6697.1, 6728.5
12/08/20, 6669.4, 6699.4, 6658.9, 6687.7
12/07/20, 6634.3, 6714.7, 6634.3, 6675.0
12/04/20, 6615.5, 6650.1, 6613.9, 6634.1
12/03/20, 6606.7, 6628.2, 6601.4, 6615.3
12/02/20, 6601.2, 6616.0, 6561.5, 6590.2
12/01/20, 6517.2, 6613.5, 6511.4, 6588.5
11/30/20, 6605.5, 6641.1, 6517.8, 6517.8
11/27/20, 6627.7, 6629.2, 6587.9, 6601.1
11/26/20, 6680.5, 6686.4, 6636.4, 6636.4
11/25/20, 6667.4, 6713.3, 6665.9, 6683.3
11/24/20, 6576.1, 6661.4, 6575.0, 6644.1
11/23/20, 6550.6, 6594.0, 6549.6, 6561.6
11/20/20, 6544.0, 6562.1, 6535.6, 6539.2
11/19/20, 6531.5, 6547.2, 6498.0, 6547.2
11/18/20, 6496.0, 6541.2, 6494.7, 6531.1
11/17/20, 6496.3, 6530.4, 6490.2, 6498.2
11/16/20, 6423.5, 6487.3, 6422.9, 6484.3
11/13/20, 6418.4, 6418.4, 6377.6, 6405.2
11/12/20, 6454.7, 6470.9, 6399.6, 6418.2
11/11/20, 6357.1, 6451.0, 6355.2, 6449.7
11/10/20, 6322.1, 6438.2, 6322.1, 6340.5
11/09/20, 6196.8, 6303.1, 6196.7, 6298.8
11/06/20, 6152.1, 6202.3, 6150.8, 6190.2
11/05/20, 6064.3, 6143.7, 6063.3, 6139.6
11/04/20, 6068.5, 6096.4, 5986.0, 6062.1
11/03/20, 5967.1, 6090.8, 5964.2, 6066.4
11/02/20, 5934.8, 5960.6, 5904.1, 5951.3
10/30/20, 5969.2, 5986.6, 5927.6, 5927.6
10/29/20, 6032.2, 6034.2, 5940.0, 5960.3
10/28/20, 6042.8, 6075.6, 6020.2, 6057.7
10/27/20, 6140.9, 6142.1, 6033.8, 6051.0
10/26/20, 6164.7, 6206.5, 6154.8, 6155.6
10/23/20, 6177.1, 6184.2, 6148.4, 6167.0
10/22/20, 6179.3, 6179.7, 6100.6, 6173.8
10/21/20, 6187.3, 6206.3, 6181.2, 6191.8
10/20/20, 6226.5, 6241.1, 6181.1, 6184.6
10/19/20, 6187.0, 6248.3, 6184.6, 6229.4
10/16/20, 6208.1, 6216.2, 6165.0, 6176.8
10/15/20, 6185.2, 6233.4, 6184.3, 6210.3
10/14/20, 6191.7, 6198.4, 6174.7, 6179.2
10/13/20, 6143.3, 6214.7, 6143.3, 6195.7
10/12/20, 6104.4, 6132.0, 6093.1, 6132.0
10/09/20, 6106.7, 6127.4, 6087.6, 6102.2
10/08/20, 6050.0, 6123.4, 6049.1, 6102.0
10/07/20, 5953.1, 6043.8, 5944.7, 6036.4
10/06/20, 5949.0, 5963.9, 5912.7, 5962.1
10/05/20, 5815.6, 5942.8, 5815.5, 5941.6
10/02/20, 5864.1, 5865.7, 5779.6, 5791.5
10/01/20, 5832.2, 5916.5, 5832.0, 5872.9
09/30/20, 5952.0, 5952.0, 5815.9, 5815.9
09/29/20, 5962.8, 5995.4, 5935.1, 5952.1
09/28/20, 5960.9, 5977.3, 5941.0, 5952.3
09/25/20, 5887.9, 5973.7, 5887.9, 5964.9
09/24/20, 5902.4, 5903.3, 5824.8, 5875.9
09/23/20, 5799.0, 5933.3, 5798.6, 5923.9
09/22/20, 5809.1, 5809.5, 5763.2, 5784.1
09/21/20, 5861.0, 5868.5, 5808.2, 5822.6
09/18/20, 5894.7, 5921.4, 5864.5, 5864.5
09/17/20, 5956.5, 5956.5, 5883.2, 5883.2
09/16/20, 5905.1, 5958.5, 5905.1, 5956.1
09/15/20, 5909.5, 5919.2, 5883.9, 5894.8
09/14/20, 5873.6, 5903.2, 5871.4, 5899.5
09/11/20, 5897.9, 5897.9, 5836.2, 5859.4
09/10/20, 5898.8, 5955.7, 5874.8, 5908.5
09/09/20, 5977.5, 5980.3, 5849.4, 5878.6
09/08/20, 5952.7, 6025.5, 5952.7, 6007.8
09/07/20, 5924.3, 5958.9, 5869.9, 5944.8
