Date,Open,High,Low,Close,Adj Close,Volume
2020-09-07,66.370003,67.900002,66.070000,67.370003,64.907974,2350246
2020-09-08,67.870003,68.489998,67.570000,68.489998,65.987045,2062956
2020-09-09,66.599998,66.980003,66.330002,66.790001,64.349167,3026643
2020-09-10,67.879997,67.879997,66.290001,66.720001,64.281731,2969184
2020-09-11,66.000000,66.260002,65.800003,65.800003,63.395351,2996930
2020-09-14,66.190002,66.589996,65.800003,66.169998,63.751823,1944822
2020-09-15,66.000000,66.160004,65.000000,65.029999,62.653484,3757071
2020-09-16,65.599998,65.830002,65.010002,65.699997,63.299000,3905800
2020-09-17,65.370003,65.769997,65.000000,65.000000,62.624584,3934061
2020-09-18,65.110001,65.250000,64.370003,64.370003,62.017609,6395277
2020-09-21,64.300003,64.349998,63.310001,63.500000,61.179401,4649205
2020-09-22,63.000000,63.279999,62.639999,63.070000,60.765118,3671667
2020-09-23,63.490002,64.470001,63.349998,64.269997,61.921261,3572552
2020-09-24,63.480000,64.430000,63.000000,64.199997,61.853817,2762068
2020-09-25,65.489998,66.779999,65.250000,66.129997,63.713291,4021873
2020-09-28,66.500000,66.639999,65.040001,65.489998,63.096672,2440377
2020-09-29,65.889999,66.040001,64.900002,65.019997,62.643848,1979376
2020-09-30,64.059998,64.529999,63.590000,63.610001,61.285381,4612677
2020-10-01,63.910000,64.540001,63.779999,64.040001,61.699669,2109305
2020-10-02,63.919998,64.250000,63.560001,63.720001,61.391365,2525561
2020-10-05,64.709999,65.989998,64.570000,65.989998,63.578400,1961004
2020-10-06,66.290001,66.430000,65.370003,66.150002,63.732559,2227080
2020-10-07,66.169998,67.610001,66.160004,67.570000,65.100662,3011826
2020-10-08,68.250000,68.379997,67.610001,68.110001,65.620926,3174818
2020-10-09,68.500000,68.550003,67.709999,67.709999,65.235542,2430743
2020-10-12,67.690002,68.620003,67.470001,68.610001,66.102654,2140654
2020-10-13,69.570000,70.660004,69.139999,69.379997,66.844513,3234295
2020-10-14,68.910004,69.330002,68.570000,68.669998,66.160469,2158016
2020-10-15,68.620003,69.720001,68.330002,69.279999,66.748169,2461648
2020-10-16,69.000000,69.650002,68.930000,69.239998,66.709633,2994507
2020-10-19,69.849998,70.250000,69.519997,70.010002,67.451492,1711635
2020-10-20,70.010002,70.449997,69.019997,69.139999,66.613289,3276870
2020-10-21,69.209999,69.820000,69.080002,69.669998,67.123924,3012271
2020-10-22,69.010002,69.459999,68.660004,69.330002,66.796349,2607989
2020-10-23,69.620003,69.910004,68.959999,69.900002,67.345520,2327154
2020-10-26,69.949997,70.099998,69.500000,69.709999,67.162460,1509835
2020-10-27,69.099998,69.379997,68.309998,68.750000,66.237541,2139783
2020-10-28,68.019997,68.790001,67.660004,68.449997,65.948502,2260344
2020-10-29,68.150002,68.669998,67.750000,68.139999,65.649834,2736317
2020-10-30,68.150002,69.629997,68.040001,69.019997,66.497665,3779713
2020-11-02,69.680000,69.699997,66.040001,68.870003,66.353157,3410760
2020-11-03,69.070000,70.449997,68.980003,69.820000,67.268440,4195170
2020-11-04,69.500000,69.720001,67.870003,68.410004,65.909973,2725022
2020-11-05,68.389999,69.669998,68.309998,69.669998,67.123924,3856662
2020-11-06,70.000000,70.250000,69.260002,69.790001,67.239532,2084788
2020-11-09,69.870003,70.580002,69.800003,70.309998,67.740532,2365509
2020-11-10,72.000000,73.139999,71.320000,72.400002,69.754158,6300671
